id,name,harness,status,severity,defects,story,expected,edges,tests,lastTested,notes
studio-exhibit-metadata,Studio edit exhibit title/description/rights,browser,pass,none,0,"As a curator, I want to present and attribute the exhibit properly, so that it is credible and credited.",Inline/drawer editable; rights carry credit + license; persists to library.json.,edit while publish in flight; special characters in title; license URL from SPDX list,apps/studio/src/library-meta-reducers.test.ts; apps/studio/src/library-meta.svelte.test.ts; packages/render-core/src/iiif/rights.test.ts,2026-06-21,src DetailsEditor/RightsEditor/ExhibitOverview
studio-keyboard-navigation,Studio keyboard shortcuts + cheat-sheet,browser,pass,none,0,"As a curator, I want to drive common actions from the keyboard, so that I can work quickly and stay in flow.",Shortcuts fire only when not typing in a field; ? shows grouped cheat-sheet; Esc unwinds layered UI.,Space play vs form submit conflict; Ctrl vs Meta on Windows; Esc dismisses palette>note>framing in sequence,apps/studio/src/shortcuts.test.ts,2026-06-21,src shortcuts.ts + ShortcutsHelp.svelte | GAP: shortcuts.ts dispatch unit test (no test exists)
studio-object-add-media,Studio ingest media (file/folder/URL/IIIF),desktop,waived,none,0,"As a curator, I want to bring my source material into an exhibit, so that I have something to annotate.","File/folder dialog (native) or URL input; ingest strips junk, natural-sorts, bakes thumbnails.",large media >100MB suggests URL; mixed image/AV folder groups by type; IIIF manifest -> one object per canvas,apps/studio/src/folder-import.test.ts,,native file dialog -> desktop/waived; URL+IIIF+sort logic testable via fs-seam. Seed opened.
studio-library-project-binding,Studio bind/save project (file/folder/browser-only),desktop,waived,none,0,"As a curator, I want my work saved somewhere I trust with its save state visible, so that I never lose progress or doubt it's safe.",Save dialog writes zip/folder; Cmd-S persists; unsaved dot shows; lost binding surfaced not silent.,binding lost (file moved); switch file<->folder binding; private mode localStorage blocked,,,native fs/dialog -> desktop/waived; queue/binding logic testable via fs-seam. Seed opened.
studio-publish-github,Studio publish to GitHub Pages,network,pass,none,0,"As a curator, I want to put my exhibit online, so that others can read it.",Dialog gathers owner/repo/branch/token (token never persisted); uploads media; pushes tree; flags broken links.,broken intra-library links degrade to text; large media upload progress; Pages not enabled warning,packages/render-core/src/publish/ghpages.test.ts,2026-06-21,"GitHub API -> network lane; vendored stub, ECONNREFUSED=>flaky"
viewer-grid-overview,Viewer object grid overview,browser,waived,none,0,"As a reader, I want to size up an exhibit's contents at a glance, so that I can choose where to start.","Grid shows objects with thumbnail, title, annotation count; single-object auto-collapses.",empty exhibit shows empty state; broken image falls back to warm wash + name; single-object skips grid,packages/render-core/src/iiif/gallery.test.ts,2026-06-21,"src ObjectGrid.svelte + MediaThumbnail.svelte | GAP: ObjectGrid.svelte render + count-badge component test | HUMAN-GATE Archie-79be: rendered-DOM/interaction, no e2e harness — data-logic covered by render-core, visual verdict deferred (not self-certified)"
viewer-object-reader,Viewer spatial image reader,browser,pass,none,0,"As a reader, I want each observation tied to the part of the image it describes, so that I understand exactly what's being pointed at.","Sidebar note list + legend + nav, OSD canvas; selection triggers fitBounds + mark highlight.",object with no notes empty state; whole-object note frames object; sidebar collapse expands canvas,apps/viewer/src/note-arrival.test.ts; packages/render-mount/src/fitbounds.test.ts,2026-06-21,src Reader.svelte + render-svelte Canvas.svelte
viewer-narrative-reader,Viewer narrative prose-spine reader,browser,pass,none,0,"As a reader, I want to be guided through the exhibit's argument, so that I can follow it without deciding what to look at next.",Left prose panel; clicking section loads object + fits its media-fragment range; AV sections render player.,AV section renders MediaPlayer; empty narrative shows grid; prose cites float rich cards,apps/viewer/src/components/narrative-escape.test.ts; packages/render-core/src/spine/deserialize.test.ts,2026-06-21,src NarrativeReader.svelte + ProseCites.svelte
viewer-search-finder,Viewer full-text finder overlay,browser,pass,none,0,"As a reader, I want to find observations by what they say, so that I can reach what I care about quickly.",Overlay with search + tag facet chips; minisearch fuzzy prefix; click arrives at note (reading+object+fitBounds).,multi-reading index de-dupes by id; no results empty state; / while typing suppressed,apps/viewer/src/lib/search-index.test.ts,2026-06-21,src lib/search-index.ts + SearchOverlay.svelte
viewer-reading-legend,Viewer reading legend overlay,browser,pass,none,0,"As a reader, I want to switch between competing interpretations, so that I can consider each on its own terms.",Legend shows General + named readings w/ swatches + per-object counts; selecting overlays that reading; hide-all toggles markers.,zero readings hides legend; hide-all on dense map keeps active reading; counts update per active object,packages/render-core/src/query/reading.test.ts; packages/render-core/src/query/marker-style.test.ts,2026-06-21,src ReadingLegend.svelte
viewer-note-lightbox,Viewer note media lightbox carousel,browser,waived,none,0,"As a reader, I want to examine a note's images and media up close, so that I can study the evidence.",Lightbox shows media + note text; counter; Esc/backdrop/x close; arrows step multi-media.,single media no arrows; audio shows native player; video poster + muted autoplay,packages/render-core/src/note/media.test.ts,2026-06-21,"src NoteLightbox.svelte | GAP: NoteLightbox.svelte carousel/arrow-nav component test | HUMAN-GATE Archie-79be: rendered-DOM/interaction, no e2e harness — data-logic covered by render-core, visual verdict deferred (not self-certified)"
viewer-reading-sheet,Viewer distraction-free reading sheet,browser,pass,none,0,"As a reader, I want a calm, full view of a long note, so that I can read it without distraction.","Fixed modal, 680px measure, scrolls long notes, renders prose cites as live links; Esc/backdrop close.",very long note scrolls; prose cites route in-app; backdrop closes,packages/render-core/src/text/sanitize.test.ts; apps/viewer/src/cite-cards.test.ts,2026-06-21,src ReadingSheet.svelte
viewer-object-nav-stepper,Viewer sidebar object stepper,browser,waived,none,0,"As a reader, I want to move between an exhibit's objects, so that I can work through it at my own pace.","Stepper shows X/N, prev/next disabled at boundaries, nav updates Reader without reload.",single-object hides stepper; touch reader keeps stepper discoverable; boundary disables,packages/render-core/src/model/layout.test.ts,2026-06-21,"src SidebarObjectNav.svelte | GAP: SidebarObjectNav.svelte boundary/disabled component test | HUMAN-GATE Archie-79be: rendered-DOM/interaction, no e2e harness — data-logic covered by render-core, visual verdict deferred (not self-certified)"
viewer-aside-resizing,Viewer resizable/collapsible sidebar,browser,pass,none,0,"As a reader, I want to set how much space the notes versus the image take, so that the view suits how I'm reading.",Drag resizes within clamp; collapse toggles; localStorage persists width+collapsed.,narrow viewport becomes overlay sheet; private mode localStorage throw caught; min/max clamp,packages/render-core/src/geometry/panel-resize.test.ts,2026-06-21,src Reader.svelte + aside-persistence.ts
viewer-note-hover-solo,Viewer hover-to-solo note mark,browser,waived,none,0,"As a reader, I want the note I'm considering to stand out, so that I'm not confused by the others.","Hovered mark highlights, others desaturate; hover end restores; keyboard focus also solos.",notesHidden only selected shows; keyboard focus solos; hover end restores all,packages/render-core/src/query/marker-style.test.ts,2026-06-21,"src Reader.svelte onnotehover | GAP: Reader.svelte onnotehover solo/desaturate component test | HUMAN-GATE Archie-79be: rendered-DOM/interaction, no e2e harness — data-logic covered by render-core, visual verdict deferred (not self-certified)"
viewer-gallery-view,Viewer exhibit gallery landing,browser,pass,none,0,"As a visitor, I want to browse the available exhibits, so that I can pick one to explore.","Cards sorted by order with cover/fallback, title, description; click hash-routes to slug.",broken cover renders fallback; single exhibit auto-lands; browser-only shows draft badge,apps/viewer/src/published.test.ts; packages/render-core/src/iiif/gallery.test.ts,2026-06-21,src Gallery.svelte
viewer-inline-cite-hovercard,Viewer inline-cite hovercard,browser,pass,none,0,"As a reader, I want to preview where a reference leads before following it, so that I can decide whether it's worth the detour.",Card shows target kind/cover/title/breadcrumb + open affordance; click navigates in-app.,external/unknown slug no card; moving onto card keeps it open; clip viewport flips above/below,apps/viewer/src/cite-cards.test.ts; packages/render-core/src/url/breadcrumb.test.ts,2026-06-21,src ProseCites.svelte citeHover/splitProseCites
viewer-media-player-transcript,Viewer temporal AV reader + transcript,browser,pass,none,0,"As a listener, I want the transcript and playback to move together, so that I can read along and jump to any moment.","Transcript lines as t=start,end notes; click seeks; marker strip shows positions; activeNoteIndex tracks timeupdate.",video spatial+temporal shows box; media load fail error state; placeholder before metadata,packages/render-core/src/av/transcript.test.ts; packages/render-core/src/av/time.test.ts; packages/render-core/src/geometry/mediafragment.test.ts,2026-06-21,src MediaPlayer.svelte
viewer-portable-zip-open,Viewer open local .archie.zip,desktop,waived,none,0,"As an offline reader, I want to open an exhibit straight from a file, so that I can read it without internet access.",File picker selects zip; exhibits load from portable tree; hash routing works; ?src= preloads hosted zip.,invalid zip error in empty hall; portable mode disables live refresh; ?src hosted zip preload,,,native file picker -> desktop/waived; zip-tree parse testable in browser. Seed opened.
render-iiif-manifest-fetch,Render remote IIIF tile fetch (CORS+timeout),network,pass,none,0,"As a reader, I want images served from remote archives to load reliably, so that I can view material the exhibit doesn't host itself.",OSD requests tiles Anonymous CORS; slow backends get 60s timeout; no canvas taint for WebGL.,cross-origin archive.org no taint; non-CORS server fails loud; slow server 60s timeout,packages/render-core/src/iiif/manifest.test.ts; packages/render-core/src/iiif/image.test.ts,2026-06-21,"src mount.ts crossOriginPolicy/timeout; vendored fixture, timeout=>flaky"
render-dzi-pyramid-load,Render baked DZI pyramid tile load,network,pass,none,0,"As a reader, I want very large images to load progressively as I zoom, so that detail appears without waiting on the whole file.",DZI descriptor parsed; OSD tile requests follow z/x/y pyramid; tiles load progressively.,missing descriptor blank; mismatched pyramid math misaligns,packages/render-mount/src/dzi.test.ts; packages/render-core/src/geometry/dzi.test.ts,2026-06-21,src mount.ts dziOsdSource + dzi.ts; vendored fixture
render-xyz-map-tiles,Render slippy XYZ map tiles,network,pass,none,0,"As a reader, I want maps to load as I pan and zoom, so that I can explore the geography behind a location note.",OSD fetches z/x/y tiles; bounded map clamps pans; unbounded pans free.,unbounded pans free; bounded map clamps to region; template substitution,packages/render-mount/src/xyz.test.ts,2026-06-21,src xyz.ts + mount.ts; vendored fixture
render-fitbounds-sidebar-reservation,Render fit-bounds sidebar reservation math,browser,pass,none,0,"As a reader, I want a selected note to land where I can actually see it, so that the notes panel never hides what I clicked.",fitBoundsRect grows bbox by w/(1-sidebarFraction) so note center lands in visible area (anvil oracle).,sidebar-as-sheet plain fit; note wider than viewport grows less (max 85%); bounded map clamps centre,packages/render-mount/src/fitbounds.test.ts; packages/render-mount/src/gate.test.ts,2026-06-21,src fitbounds.ts; existing tests present
render-frame-overlay-coverage-border,Render whole-object coverage border overlay,browser,pass,none,0,"As a reader, I want a whole-object note to visibly frame the whole object, so that I can tell it isn't about one small region.",SVG overlay at item bounds pans/zooms with object; corner hit-targets click-through; centre pointer-events none.,image not open yet queues on open; redraw replaces previous frame; corner click selects,packages/render-mount/src/frame-overlay.test.ts,2026-06-21,src frame-overlay.ts createFrameOverlay | GAP: frame-overlay.test.ts (createFrameOverlay has no test)
render-degenerate-selector-guard,Render degenerate selector guard,browser,pass,none,0,"As a reader, I want malformed regions skipped quietly, so that one bad annotation never breaks the whole view.",isDegenerateSelectorValue detects NaN/empty/zero-size; bad selectors filtered before fitBounds.,string containing NaN detected; array multi-selector still guarded; zero-size skipped,packages/render-mount/src/mount-guard.test.ts,2026-06-21,src mount.ts selectorValue/isDegenerateSelectorValue
render-zoom-band-constraint,Render zoom floor/ceiling band,browser,pass,none,0,"As a reader, I want zoom kept within a readable range, so that I can't get lost zoomed too far in or out.",zoomBand returns min/max from image/container aspect; OSD viewport constrained.,tall narrow image distinct band; small container distinct band; clamp at extremes,packages/render-mount/src/zoom-band.test.ts,2026-06-21,src zoom-band.ts (verify existence)
render-gesture-guard,Render pan/scroll gesture guard,browser,pass,none,0,"As a reader on a touch device, I want scrolling the notes to scroll the notes, so that I don't accidentally drag the image.",Gesture guard separates list scroll vs canvas pan; multi-touch pinch zooms.,list scroll not pan; canvas pan works; pinch zoom not pan,packages/render-mount/src/gesture-guard.test.ts,2026-06-21,src gesture-guard.ts (verify existence)
render-tile-source-resolution,Render tile-source type resolution,browser,pass,none,0,"As a reader, I want any kind of image source to just open, so that I don't have to care how it's hosted.",resolveTileSource classifies image/IIIF-info/DZI/XYZ; mount wires OSD tile source.,IIIF info recognized by json-ld; DZI by .dzi; XYZ by descriptor.kind,packages/render-core/src/iiif/resolve.test.ts; packages/render-mount/src/index.test.ts,2026-06-21,src render-core iiif/resolve.ts + mount.ts
studio-csv-import,Studio bulk-import annotations from CSV,browser,pass,none,0,"As a curator, I want to bring annotations in from a spreadsheet, so that I can reuse work I've already organized elsewhere.","CSV rows map to notes; x,y,w,h cells parse into regions via a strict state machine; partial or invalid regions error rather than silently drop.","all-blank region cells -> pending (no region); some-but-not-all region cells -> error (partial is malformed, not omitted); non-numeric or zero/negative size -> error",apps/studio/src/csv-import.test.ts,2026-06-21,seed Archie-79c0; parseRegion state machine
studio-wadm-import,Studio import W3C Web Annotation data,browser,pass,none,0,"As a curator, I want to import standard Web Annotation data, so that I can build on annotations made in other tools.",Tolerant of AnnotationPage / bare array / single Annotation; legacy sc:AnnotationList refused honestly; targets re-anchored by the /canvas/<id> tail.,"AnnotationPage vs bare array vs single Annotation; legacy sc:AnnotationList refused, not half-parsed; canvas id extracted from any publisher",apps/studio/src/wadm-import.test.ts; packages/render-core/src/wadm/types.test.ts; packages/render-core/src/wadm/brand.test.ts,2026-06-21,WADM @context at AnnotationPage level only (Q-3)
studio-dzi-tiling,Studio in-browser DZI tiling at publish,browser,pass,none,0,"As a curator, I want very large images tiled when I publish, so that readers can deep-zoom them smoothly.","dziTilePlan enumerates exactly the pyramid: one entry per (level,col,row) with {level}/{col}_{row}.{ext} path; no tiles dropped.",non-square image pyramid; single-tile small image; tile path/extension correctness,apps/studio/src/dzi-slicer.test.ts; packages/render-core/src/geometry/dzi.test.ts,2026-06-21,Q-11 GO: web OffscreenCanvas DZI slicer
studio-collab-attribution,Studio contributor attribution,browser,pass,none,0,"As a curator working with others, I want to see who wrote what, so that contributions are clear before I publish.","collabBreakdown splits live notes by editor (deletions drop out) and sums across exhibits; summary names the other contributors, stays silent when solo.",deleted notes drop from attribution; sums across multiple exhibits; solo author -> banner stays silent,apps/studio/src/collab.test.ts,2026-06-21,attribution logic tested; draft-banner COPY wording human-gated -> Archie-79be
viewer-deeplink-share,Viewer shareable deep-link to a note,browser,pass,none,0,"As a reader, I want to share a link that lands on the exact note I'm looking at, so that someone else sees what I see.",IIIF Content State encodes/decodes an annotation reference losslessly; #/<slug>/a/<noteId> routes to the exhibit landing on that note; legacy ?annotation= redirects.,malformed Content State -> null; bare / trailing-slash hash tolerated; legacy ?annotation=urn: redirect,packages/render-core/src/url/deeplink.test.ts; packages/render-core/src/url/route.test.ts,2026-06-21,durable refs Q-2/Q-8 nav contract
studio-portable-export,Studio export self-contained portable archive,browser,pass,none,0,"As a curator, I want to save a self-contained copy of my exhibit, so that I can share or archive it offline.",Publish builds a portable .archie.zip tree (assets + data bundled) that the viewer can open without a server.,"assets bundled, not referenced remotely; round-trips through viewer open; empty exhibit still a valid archive",packages/render-core/src/publish/portable.test.ts,2026-06-21,distinct publish target from GH Pages; bytes-building logic browser-testable
